Altonah,UT,302
Titusville,FL,54767
Morrisdale,PA,3688
Fulton,SD,355
Laguna Hills,CA,45303
Topeka,KS,163415
Falls Church,VA,116155
Florence,MS,19685
Andrews,IN,2304
San Jose,CA,973849
Eureka,IL,6713
Edisto Island,SC,2408
Smith River,CA,1930
Elizabeth,NJ,124967
Payson,IL,1656
Ruidoso,NM,8874
Spring Church,PA,972
Lamberton,MN,1507
Tower Hill,IL,1532
Utica,KS,269
Freedom,WY,471
Blackville,SC,4913
Garrattsville,NY,165
Kingsford Heights,IN,1423
Lonsdale,MN,5211
Loami,IL,1213
Columbia,SC,333497
Center Tuftonboro,NH,1368
Napa,CA,94014
Belmond,IA,3032
Lahoma,OK,1078
Laredo,TX,248858
Bradley,SC,1523
Moundsville,WV,16183
Cazenovia,WI,1360
Mill Creek,PA,1334
Pewee Valley,KY,3263
Hatch,UT,258
Edinburg,VA,6018
Avoca,IA,2036
North Prairie,WI,2328
Phoenix,AZ,1312922
Port Costa,CA,198
Lanark Village,FL,217
Grandview,TX,5875
Hancock,MD,3766
Oolitic,IN,1228
Ozawkie,KS,2661
Pembroke,NC,14783
El Paso,TX,749635
Harper,TX,2395
Darien,GA,5989
Dalton,WI,1628
Lima,OH,86954
Watertown,MN,5619
Cassatt,SC,4424
Knowlesville,NY,275
Detroit,MI,673342
Norman,AR,1383
Cadiz,KY,13422
Winger,MN,516
Coffeeville,MS,3451
Indian Wells,CA,4677
Wilmington,NC,186140
Armagh,PA,922
Iselin,NJ,18459
Ronceverte,WV,4575
Moab,UT,9772
San Antonio,TX,1595797
Vanderbilt,PA,2303
Sachse,TX,20328
West Columbia,SC,52126
Williamsburg,MO,710
Haines City,FL,33804
Heart Butte,MT,743
Baton Rouge,LA,378909
Denham Springs,LA,71335
Hurricane,WV,21902
Sauk Rapids,MN,16163
Daly City,CA,107941
Norwalk,CA,105549
Pittsburgh,PA,687276
Glendale,CA,172817
Hannawa Falls,NY,69
North Loup,NE,509
Milford,OH,31394
Saint Amant,LA,10076
Oak Hill,NY,277
De Witt,AR,5161
Pointe Aux Pins,MI,95
Brunson,SC,1725
Summerfield,TX,53
Elberta,MI,372
Grimesland,NC,5903
Purmela,TX,258
Wetmore,MI,765
Manderson,SD,1126
Mesa,ID,129
Jefferson,NY,1666
Barnard,SD,63
Easton,KS,1442
Logan,IL,324
